0,1,2,3
49222.64021396637,49541.04057729244,49605.79375743866,49331.37375771999
48111.23442173004,48527.51095235348,48680.194425582886,48541.910861730576
47481.5887594223,47944.831241965294,48167.09322690964,48093.494366407394
46842.06493884325,47365.12190282345,47632.13423490524,47640.53101181984
47088.91618043184,47588.09452474117,47832.16560840607,47810.03695130348
46363.12909632921,46601.49301946163,46877.32516288757,46990.29513776302
46023.32897335291,46291.570083498955,46591.23215198517,46750.419399142265
45170.15983134508,45517.58750855923,45897.37655878067,46152.62305557728
47404.66040492058,44619.64671552181,45093.61418604851,45459.50016409159
47455.98452448845,47682.586416602135,47968.43747615814,45059.41459149122
47680.90188741684,47968.62464606762,48097.246894836426,49182.92367219925
46630.55000662804,46919.334916472435,47261.28216743469,49948.801637887955
46479.129549860954,46781.036135554314,47131.23712301254,50016.791487932205
49183.781914711,49949.880527853966,50018.276673555374,49788.314853310585
49949.714661836624,50014.48001563549,49786.596846580505,50145.255479216576
49716.16009235382,47014.66679036617,47314.60885286331,47362.553262114525
49770.11372089386,50089.634060263634,47083.69900941849,47167.957424521446
47849.47654247284,48273.909420371056,48456.369647979736,48341.733404397964
48805.57087421417,49154.30797994137,49242.477180957794,49016.39723420143
49074.65729236603,49398.94970357418,49464.938509464264,49208.859639167786
49240.51113605499,49550.00038564205,49604.72856283188,49329.45488572121
49486.22414112091,49779.93633687496,49815.089280605316,49506.73370242119
49484.032883644104,49777.01466023922,49810.97458600998,49506.79457068443
49507.016739845276,49799.608959555626,49828.8698554039,49523.56834232807
49565.401577949524,49848.5957378149,49877.077519893646,49564.038128852844
48681.54570102692,49044.16077077389,49147.39486694336,48935.60070157051
47747.21786022186,48188.693851828575,48377.58176803589,48279.67212319374
46947.415728867054,47464.70238149166,47719.14541721344,47714.936376810074
46212.9762211442,46469.2384570837,46754.048669338226,46885.62607228756
45900.913765728474,46183.02370965481,46503.13751459122,46668.60636651516
45118.62875968218,45470.56677520275,45862.36513376236,46118.75595390797
44849.82233554125,45231.38493478298,45641.80289506912,45931.382896602154
44290.63929647207,44720.152391791344,45184.03094768524,45538.97509455681
44586.79839640856,44989.683148264885,45427.00488090515,45747.50443845987
44871.45795971155,45250.06540477276,45663.125047683716,45948.54470342398
46092.962266504765,46358.823427557945,46662.721927165985,46805.24953067303
45562.12405592203,45881.64059102535,46228.25643777847,46432.64293551445
46022.954633533955,46294.77784097195,46607.49615192413,46757.577506899834
46610.31206995249,47170.781711936,47462.39699602127,47489.299246668816
46722.69847035408,46931.54509007931,47242.327790260315,47305.477091670036
46573.09721380472,46794.27498281002,47124.82160806656,47195.859436392784
46590.56944876909,47153.933376669884,47445.506052970886,47476.94907605648
47354.739298820496,47858.83655965328,48079.89335298538,48022.75935769081
47657.15717792511,48138.148846030235,48331.48014545441,48237.3382461071
49258.77161502838,49602.49317586422,49656.46658658981,49371.86180472374
46926.44661217928,45508.445095419884,45641.72985315323,50114.92938876152
46853.161223232746,45654.723705649376,49109.51654672623,49909.44726228714
49637.71307468414,49951.53614461422,49973.66328001022,49640.22845566273
49314.478249549866,49649.62955892086,49699.31784391403,49410.14185547829
49474.78090763092,49806.81576192379,49834.701035022736,49526.68784081936
49981.44833087921,46740.41874349117,46793.71042966843,49883.553903102875
49679.10349369049,49984.55109059811,50001.419208049774,49668.66002142429
46861.439307034016,45925.56312978268,46107.59119272232,50067.010848522186
46832.173846066,45722.89616048336,49560.672113895416,50467.839013934135
46482.44915276766,49374.79717671871,49420.626413822174,50370.308274030685
49563.16162586212,49883.65585744381,49913.65934610367,49593.92748951912
49882.20871448517,50181.37470662594,50174.38246488571,49810.66415786743
50148.86040210724,49188.19942891598,49267.177522182465,50056.72106862068
50100.165791511536,49137.557033896446,49149.03222322464,49969.77531969547
50098.60756397247,49514.258541464806,49635.467035770416,46455.33766746521
50598.31165790558,49972.1826595068,46378.966257572174,45403.53940457106
51046.69163227081,46389.23321187496,45403.905375003815,45492.33098357916
46381.65130883455,45403.65429341793,45496.61991357803,45994.91034209728
45406.39564782381,45501.82262837887,46812.15351343155,46098.02878856659
45495.26331216097,46004.83795583248,45339.39718961716,45013.331990242004
